HolderAddress	Balance kBond	kxUSD
0x62b8e137ee87ab3caeb2fea3b88d04abea7c5579	7,394672673	1743,449754
0xe787deec0be77db98a1294193e2c1600c8a8687d	5,582157582	1316,111165
0x168fa4917e7cd18f4ed3dc313c4975851ca9e5e7	4,819864661	1136,384561
0xdae7a1e25052c656b67dc8768155541f2b76418d	4,66938812	1100,906548
0x16e13d9f28e2c3aced2dd3cb383e0b68fd7a3c56	3,155276822	743,9229352
0x8ff2f72133245396bf59e063b765b989d36156ec	2,581350007	608,6076063
0x20ff58154bd2c9bfb7bf37c2f7665ddaa0b97253	1,424682098	335,8987968
0xea03523a90e5fc7e424ccef2b3e7d1ac3c90cdae	1,257934606	296,5845653
0xef114d9316274acff9c9ea00871af274b8994234	1,191178277	280,8453552
0xdbd161be988b95d2b263f8eac431264240227127	1,183673364	279,0759141
0x2ac30051df11dd6a21349221475a55ac64806cc6	0,99225904	233,9459576
0x9759c78812015d078ea73f695cc326f00ad002b2	0,937049968	220,9292567
0xf13f7bf69a5e57ea3367222c65dd3380096d3fbf	0,820791644	193,5189093
0x4125533e8c48385320069793c463dc554c77a398	0,736029057	173,534345
0xd4a17ad38d5264d165db58e72a8cbe715d7dbcf7	0,698124615	164,5975748
0x87347696eb7abfa9b9b6a77e0c12d8a5d99b5435	0,64041186	150,9905778
0xf9db11765b958562287d8bc00e773a6d43923308	0,582004193	137,2197407
0x366e138e84a707a3d53f2ab8b49abfb5a27cc430	0,464887511	109,6070176
0x7490d548d8f839828cea76b4243827de922529f1	0,394518245	93,01598165
0xe35d940babfbf74ab3b9c676ae781308500fc113	0,329875482	77,77508939
0x5fd19829167e9ca4fb86a3db4c80a26bfd53915d	0,279513022	65,90107928
0x8e2c60b7cb25b6edfdc1cd49a4467565ab88ad88	0,276860357	65,27565759
0xc8615518ee5a584a9aacee774c67c0584a617c81	0,249909202	58,92135553
0x13526967cadfd180c27a4392a46a30c573088bee	0,187684793	44,25064114
0x25ee6c3d31cd154d0ffdda114874577e1ec54744	0,18078282	42,62335563
0x968d94efb8c87fbc62283b08ea48c419e2d73740	0,171345866	40,39839507
0x473bbc06d7fdb7713d1ed334f8d8096cad6ec3f3	0,163595245	38,57102302
0x160bf864d8df8a9d6d3405c2041e2b6e355817fc	0,118974477	28,05073754
0x3f03f6efd50bcdc833d00fd6cef4e1fa534f922e	0,115753276	27,2912716
0x233f037c787ee3858200fd9500f0e515f4179527	0,102743006	24,22382662
0xae2682834587619c03fc91b603188ecccb22bb2f	0,090925003	21,43748369
0xdfcf69c8fed25f5150db719bad4efab64f628d31	0,067271533	15,86068007
0xb33d46705fb8441202f370489128caab990fc5ac	0,063382835	14,9438376
0x099b8e06be2bdc25cda14b5bd843660459a01131	0,057620493	13,58524433
0x374d671883a71c0409a486c6d5299b85504a9147	0,057275257	13,50384763
0x88511e33fa4466b45afc984957392fafea95afe2	0,051816113	12,21673941
0xf6df31bb885c251fe3fe99403115eac63bfde7b1	0,037942438	8,945728423
0x1ae74f5f0d55d82ab60b381cacec1445eaa1b26a	0,034671092	8,174439824
0x2e0719832d76d692f836cdb4598b9eb259d3a93b	0,03265546	7,699212128
0x43cc26add823f6703ac06b3f5247fe6be813166e	0,02778623	6,551188606
0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea	0,027549082	6,495276072
0x1e9b4cee88e8646afe2cc9350079471110e36e66	0,025199622	5,941341363
0x0a62a72cfe67c25e077ff7b979135af224e35941	0,023431774	5,524534092
0x5fb716a4b09d42f5894f3a2c7d3da3ee1711c3f8	0,020241517	4,77236379
0xb10a072c2a0fdd8e32a2280eda473bf0a335fe35	0,019610184	4,623513769
0x4f00aaf040b47fb5c98b87ea2fec25c55161a850	0,019143395	4,51345828
0x59bd24ea848bd2035c405f527b1fd557005ec3a4	0,015970775	3,765446373
0xa3e992ce71df5c709886eb7eb09f7510ea7e4b41	0,010542899	2,485710281
0xc726a840cf0e82638751890876fc4b7aef85a458	0,008451605	1,992643815
0x36cb18a75943396b526e20fde7f70b6367c70d7d	0,006995976	1,649448651
0xd0923192bcece5bcb3997e2578201c30813ae94c	0,005602187	1,320833507
0xe3c0ec6c269f34fdafd45308a8300491652f8f1c	0,00388687	0,916411414
0x04f648bb839033bba7c6341529bd7dd6fd6d413e	0,002084962	0,491573605
0xdbfb0e80143dd737e04925ffd7af8c355c0d25f9	9,11E-05	0,021468313
0x5be10f3434bc1ac6c0a34f86da39ea0095392f21	7,98E-05	0,018826025
0x912dc254edfb73250f2e8407c8fa62aff4b7764c	7,82E-05	0,018447013
0xbca2e7679f1b99740f884e2cc712b8739081db5e	7,64E-05	0,0180128
0x6a77500a141fede525e57e422d65d67a32f2d8fe	7,31E-05	0,017227586
0x4bb7fba588b4254536de4316e8fb346bbe275ecb	6,25E-05	0,014728107
0x0ec0a945738cd45225f848fed15aca36b545c831	4,97E-05	0,011714917
0x127a344ef1940cc4d65d8e60384cbfc048b54880	4,87E-05	0,011488521
0xbb1a016f07400696eda537658a7d76e35c61f31a	4,18E-05	0,009846548
0x84912977b668e357198cae78ba108b99cff0489a	4,05E-05	0,009551916
0x5ade40e345817b739b91c6b4615efce87f9d7c57	2,34E-05	0,005526182
0x0e132164d513179613341df2cb481d0498219ede	1,26E-05	0,00297503
0x4bfc3b8c82909ad224d1e2c0305fa5bfab1e7f1c	1,00E-06	0,000235771
